[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.055410 ] THIS CLASS DOES NOT YET SUPPORT RETURN THE DEVICE NAME.
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.211077 ] 
   Agent: GenericAgent
   ActionWrapper: GymWrapper
   StateBuilder: PureState
   RewardBuilder: PureReward
   Environment: GymEnv
   Model: DoubleDeepQLearning
       Layer 0: {'type': 'input', 'nodes': 25, 'shape': 4}
       Layer 1: {'type': 'fullyconn', 'nodes': 25, 'name': 'default0'}
       Layer 2: {'type': 'output', 'length': 2}

[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.211140 ] WARNING! Starting new training on /app/urnai/models/saved/cartpole-v1_ddql_25x25_json with SAVING ENABLED.
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.211472 ] > Training
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.211532 ] 
   Agent: GenericAgent
   ActionWrapper: GymWrapper
   StateBuilder: PureState
   RewardBuilder: PureReward
   Environment: GymEnv
   Model: DoubleDeepQLearning
       Layer 0: {'type': 'input', 'nodes': 25, 'shape': 4}
       Layer 1: {'type': 'fullyconn', 'nodes': 25, 'name': 'default0'}
       Layer 2: {'type': 'output', 'length': 2}

[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.641591 ] Episode: 32/1000 | Outcome: 1 | Episode Avg. Reward:  23.000000 | Episode Reward:  25.000000 | Episode Steps:  25.000000 | Best Reward was 69.0 on episode: 25 |Episode Duration (seconds): 0.0 | Episode SPS: 3140.67 | SPS AVG: 11117.2 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.8018504766212683}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.658735 ] Episode: 33/1000 | Outcome: 1 | Episode Avg. Reward:  23.121212 | Episode Reward:  27.000000 | Episode Steps:  27.000000 | Best Reward was 69.0 on episode: 25 |Episode Duration (seconds): 0.0 | Episode SPS: 3387.16 | SPS AVG: 10882.96 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.7953807550048818}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.672909 ] Episode: 34/1000 | Outcome: 1 | Episode Avg. Reward:  22.970588 | Episode Reward:  18.000000 | Episode Steps:  18.000000 | Best Reward was 69.0 on episode: 25 |Episode Duration (seconds): 0.0 | Episode SPS: 3567.26 | SPS AVG: 10667.79 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.7910966338167215}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.693269 ] Episode: 35/1000 | Outcome: 1 | Episode Avg. Reward:  23.485714 | Episode Reward:  41.000000 | Episode Steps:  41.000000 | Best Reward was 69.0 on episode: 25 |Episode Duration (seconds): 0.0 | Episode SPS: 3682.44 | SPS AVG: 10468.21 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.7814243011064078}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.710399 ] Episode: 36/1000 | Outcome: 1 | Episode Avg. Reward:  23.500000 | Episode Reward:  24.000000 | Episode Steps:  24.000000 | Best Reward was 69.0 on episode: 25 |Episode Duration (seconds): 0.0 | Episode SPS: 3051.88 | SPS AVG: 10262.2 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.7758174140819837}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.722753 ] Episode: 37/1000 | Outcome: 1 | Episode Avg. Reward:  23.270270 | Episode Reward:  15.000000 | Episode Steps:  15.000000 | Best Reward was 69.0 on episode: 25 |Episode Duration (seconds): 0.0 | Episode SPS: 4601.37 | SPS AVG: 10109.21 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.7723335576708336}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.737535 ] Episode: 38/1000 | Outcome: 1 | Episode Avg. Reward:  23.368421 | Episode Reward:  27.000000 | Episode Steps:  27.000000 | Best Reward was 69.0 on episode: 25 |Episode Duration (seconds): 0.0 | Episode SPS: 4894.38 | SPS AVG: 9971.97 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.7661019929853844}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.751287 ] Episode: 39/1000 | Outcome: 1 | Episode Avg. Reward:  23.487179 | Episode Reward:  28.000000 | Episode Steps:  28.000000 | Best Reward was 69.0 on episode: 25 |Episode Duration (seconds): 0.0 | Episode SPS: 6089.73 | SPS AVG: 9872.43 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.7596927313977291}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.765709 ] Episode: 40/1000 | Outcome: 1 | Episode Avg. Reward:  23.400000 | Episode Reward:  20.000000 | Episode Steps:  20.000000 | Best Reward was 69.0 on episode: 25 |Episode Duration (seconds): 0.0 | Episode SPS: 3889.74 | SPS AVG: 9722.86 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.7551475424014931}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.781268 ] Episode: 41/1000 | Outcome: 1 | Episode Avg. Reward:  23.487805 | Episode Reward:  27.000000 | Episode Steps:  27.000000 | Best Reward was 69.0 on episode: 25 |Episode Duration (seconds): 0.0 | Episode SPS: 4218.99 | SPS AVG: 9588.62 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.7490546428883291}
